word,frequency,topic_id
behind,201,2
probably,201,2
advice,200,2
truly,200,2
virus,199,2
especially,199,2
constantly,199,2
started,198,2
natural,198,2
reality,198,2
path,197,2
role,196,2
inside,196,2
effective,195,2
called,195,2
teen,195,2
alzheimer,195,2
spirit,195,2
attack,194,2
impact,194,2
sex,194,2
clear,194,2
memory,193,2
free,192,2
individual,192,2
purpose,192,2
already,191,2
gain,191,2
treat,190,2
potential,190,2
seem,190,2
higher,190,2
huffpost,189,2
deep,189,2
effort,189,2
strength,189,2
beyond,188,2
wisdom,188,2
winter,188,2
strategy,188,2
prevent,188,2
tool,188,2
game,187,2
medium,185,2
alone,185,2
toward,185,2
told,185,2
enjoy,185,2
factor,184,2
ago,182,2
forward,182,2
deal,181,2
offer,181,2
class,181,2
injury,180,2
reduce,179,2
diagnosis,178,2
loving,178,2
city,178,2
boost,177,2
product,177,2
favorite,177,2
spring,177,2
follow,176,2
asked,176,2
article,176,2
four,176,2
gratitude,175,2
understanding,175,2
wo,174,2
mistake,174,2
belief,174,2
mindful,174,2
outside,173,2
fast,173,2
new,1868,3
show,1166,3
star,1085,3
say,1054,3
film,1047,3
movie,1024,3
trump,1016,3
one,974,3
year,889,3
like,814,3
first,812,3
time,767,3
get,718,3
actor,683,3
music,648,3
said,607,3
day,592,3
make,584,3
woman,565,3
video,544,3
love,542,3
people,506,3
fan,501,3
season,496,3
back,489,3
donald,485,3
singer,484,3
best,482,3
life,478,3
thing,458,3
award,446,3
look,438,3
know,430,3
trailer,425,3
take,424,3
u,423,3
night,422,3
want,421,3
would,418,3
week,408,3
oscar,407,3
way,400,3
song,398,3
world,397,3
see,389,3
go,387,3
watch,383,3
kardashian,376,3
got,376,3
album,375,3
good,371,3
actress,368,3
director,366,3
made,364,3
story,363,3
could,362,3
think,360,3
two,359,3
office,355,3
hollywood,352,3
dead,352,3
war,352,3
tv,345,3
taylor,339,3
last,337,3
box,333,3
girl,331,3
also,327,3
weekend,321,3
john,317,3
hit,317,3
family,316,3
photo,314,3
swift,311,3
even,307,3
really,307,3
man,306,3
may,306,3
million,300,3
still,297,3
netflix,293,3
never,292,3
james,283,3
come,281,3
festival,276,3
host,274,3
set,274,3
talk,272,3
kim,270,3
game,270,3
live,269,3
rock,268,3
twitter,268,3
series,266,3
right,263,3
give,262,3
death,260,3
jenner,260,3
performance,255,3
play,253,3
call,252,3
big,252,3
character,249,3
baby,249,3
throne,248,3
need,247,3
little,246,3
west,243,3
chris,241,3
release,236,3
another,235,3
episode,234,3
child,233,3
interview,232,3
sexual,231,3
much,231,3
going,230,3
ever,227,3
next,225,3
coming,224,3
role,223,3
late,222,3
friend,221,3
kanye,220,3
many,218,3
open,216,3
cast,216,3
daughter,216,3
celebrity,215,3
instagram,215,3
white,214,3
black,213,3
america,212,3
real,211,3
former,210,3
american,209,3
justin,209,3
reveals,208,3
ca,208,3
president,206,3
top,205,3
finally,204,3
michael,204,3
let,204,3
latest,201,3
debut,201,3
moment,201,3
share,200,3
work,199,3
news,199,3
david,198,3
tom,198,3
jennifer,197,3
great,196,3
reportedly,195,3
comedy,192,3
ryan,187,3
review,187,3
well,186,3
tell,185,3
son,184,3
